IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.118.38.18,443,443,true,FRA,Europe,Frankfurt,272,5.27
34.116.206.140,443,443,true,FRA,Europe,Frankfurt,270,5.27
34.116.191.142,443,443,true,FRA,Europe,Frankfurt,271,5.27
34.118.69.139,443,443,true,FRA,Europe,Frankfurt,271,5.26
34.91.149.210,443,443,true,FRA,Europe,Frankfurt,283,5.26
34.159.158.159,443,443,true,FRA,Europe,Frankfurt,271,5.25
34.118.112.23,443,443,true,FRA,Europe,Frankfurt,291,5.25
34.118.127.195,443,443,true,FRA,Europe,Frankfurt,284,5.25
34.154.204.166,443,443,true,FRA,Europe,Frankfurt,279,5.24
34.65.158.214,443,443,true,FRA,Europe,Frankfurt,264,5.24
34.65.192.38,443,443,true,FRA,Europe,Frankfurt,252,5.23
34.65.185.49,443,443,true,FRA,Europe,Frankfurt,250,5.22
34.65.189.218,443,443,true,FRA,Europe,Frankfurt,266,5.21
34.65.152.58,443,443,true,FRA,Europe,Frankfurt,262,5.21
34.154.253.152,443,443,true,FRA,Europe,Frankfurt,262,5.21
34.65.113.46,443,443,true,FRA,Europe,Frankfurt,263,5.20
34.65.96.247,443,443,true,FRA,Europe,Frankfurt,268,5.19
34.116.201.167,443,443,true,FRA,Europe,Frankfurt,365,5.19
34.154.69.105,443,443,true,FRA,Europe,Frankfurt,262,5.19
34.159.126.204,443,443,true,FRA,Europe,Frankfurt,252,5.19
34.65.152.58,443,443,true,FRA,Europe,Frankfurt,258,5.19
34.65.113.46,443,443,true,FRA,Europe,Frankfurt,269,5.19
34.65.146.53,443,443,true,FRA,Europe,Frankfurt,273,5.18
34.65.192.38,443,443,true,FRA,Europe,Frankfurt,251,5.18
34.118.19.212,443,443,true,FRA,Europe,Frankfurt,282,5.18
34.118.123.17,443,443,true,FRA,Europe,Frankfurt,280,5.18
34.159.49.76,443,443,true,FRA,Europe,Frankfurt,252,5.17
34.118.68.169,443,443,true,FRA,Europe,Frankfurt,282,5.17
34.118.49.212,443,443,true,FRA,Europe,Frankfurt,272,5.17
34.118.31.147,443,443,true,FRA,Europe,Frankfurt,276,5.17
34.116.147.55,443,443,true,FRA,Europe,Frankfurt,271,5.15
34.159.230.29,443,443,true,FRA,Europe,Frankfurt,261,5.15
34.65.96.247,443,443,true,FRA,Europe,Frankfurt,253,5.15
34.118.20.118,443,443,true,FRA,Europe,Frankfurt,271,5.14
34.116.205.19,443,443,true,FRA,Europe,Frankfurt,288,5.13
34.65.47.187,443,443,true,FRA,Europe,Frankfurt,274,5.13
34.118.60.19,443,443,true,FRA,Europe,Frankfurt,282,5.13
34.91.197.189,443,443,true,FRA,Europe,Frankfurt,279,5.13
34.116.176.165,443,443,true,FRA,Europe,Frankfurt,282,5.12
34.118.54.96,443,443,true,FRA,Europe,Frankfurt,284,5.11
34.118.87.30,443,443,true,FRA,Europe,Frankfurt,272,5.10
34.116.131.64,443,443,true,FRA,Europe,Frankfurt,283,5.10
34.118.11.48,443,443,true,FRA,Europe,Frankfurt,283,5.10
34.65.168.45,443,443,true,FRA,Europe,Frankfurt,250,5.10
34.118.102.66,443,443,true,FRA,Europe,Frankfurt,274,5.10
34.65.214.170,443,443,true,FRA,Europe,Frankfurt,260,5.08
34.32.212.53,443,443,true,FRA,Europe,Frankfurt,264,5.08
34.118.91.168,443,443,true,FRA,Europe,Frankfurt,270,5.08
34.159.153.136,443,443,true,FRA,Europe,Frankfurt,261,5.07
34.32.214.127,443,443,true,FRA,Europe,Frankfurt,262,5.07
34.154.135.247,443,443,true,FRA,Europe,Frankfurt,253,5.07
34.65.158.214,443,443,true,FRA,Europe,Frankfurt,266,5.06
34.116.243.135,443,443,true,FRA,Europe,Frankfurt,323,5.05
34.118.44.55,443,443,true,FRA,Europe,Frankfurt,282,5.05
34.116.189.247,443,443,true,FRA,Europe,Frankfurt,271,5.05
34.141.54.241,443,443,true,FRA,Europe,Frankfurt,252,5.05
34.118.32.216,443,443,true,FRA,Europe,Frankfurt,270,5.05
34.32.212.100,443,443,true,FRA,Europe,Frankfurt,257,5.04
34.65.130.191,443,443,true,FRA,Europe,Frankfurt,250,5.04
34.154.255.36,443,443,true,FRA,Europe,Frankfurt,285,5.03
34.118.37.232,443,443,true,FRA,Europe,Frankfurt,304,5.02
34.65.176.142,443,443,true,FRA,Europe,Frankfurt,270,5.02
34.116.203.237,443,443,true,FRA,Europe,Frankfurt,308,5.01
34.116.244.60,443,443,true,FRA,Europe,Frankfurt,368,5.01
34.116.128.81,443,443,true,FRA,Europe,Frankfurt,335,5.01
34.91.197.189,443,443,true,FRA,Europe,Frankfurt,272,5.01
34.116.236.156,443,443,true,FRA,Europe,Frankfurt,334,5.01
34.159.84.89,443,443,true,FRA,Europe,Frankfurt,263,5.00
34.118.11.48,443,443,true,FRA,Europe,Frankfurt,313,5.00
34.116.243.135,443,443,true,FRA,Europe,Frankfurt,279,5.00
34.116.167.147,443,443,true,FRA,Europe,Frankfurt,325,4.99
34.116.147.20,443,443,true,FRA,Europe,Frankfurt,272,4.99
34.116.186.249,443,443,true,FRA,Europe,Frankfurt,399,4.99
34.65.176.142,443,443,true,FRA,Europe,Frankfurt,266,4.98
34.118.111.208,443,443,true,FRA,Europe,Frankfurt,271,4.97
34.65.29.141,443,443,true,FRA,Europe,Frankfurt,264,4.97
34.116.157.223,443,443,true,FRA,Europe,Frankfurt,330,4.97
34.159.238.41,443,443,true,FRA,Europe,Frankfurt,251,4.97
34.116.241.55,443,443,true,FRA,Europe,Frankfurt,284,4.97
34.154.212.32,443,443,true,FRA,Europe,Frankfurt,255,4.96
34.118.31.147,443,443,true,FRA,Europe,Frankfurt,298,4.96
34.154.251.137,443,443,true,FRA,Europe,Frankfurt,260,4.96
34.116.253.105,443,443,true,FRA,Europe,Frankfurt,350,4.95
34.116.176.165,443,443,true,FRA,Europe,Frankfurt,364,4.94
34.65.120.233,443,443,true,FRA,Europe,Frankfurt,261,4.94
34.154.64.122,443,443,true,FRA,Europe,Frankfurt,278,4.93
34.116.220.129,443,443,true,FRA,Europe,Frankfurt,340,4.93
34.65.47.187,443,443,true,FRA,Europe,Frankfurt,252,4.92
34.154.73.101,443,443,true,FRA,Europe,Frankfurt,263,4.92
34.118.12.136,443,443,true,FRA,Europe,Frankfurt,379,4.90
34.154.118.156,443,443,true,FRA,Europe,Frankfurt,250,4.89
34.116.211.148,443,443,true,FRA,Europe,Frankfurt,271,4.89
34.118.99.126,443,443,true,FRA,Europe,Frankfurt,281,4.89
34.141.73.114,443,443,true,FRA,Europe,Frankfurt,252,4.87
34.91.162.60,443,443,true,FRA,Europe,Frankfurt,266,4.86
34.118.82.161,443,443,true,FRA,Europe,Frankfurt,277,4.85
34.118.54.96,443,443,true,FRA,Europe,Frankfurt,289,4.85
34.118.19.212,443,443,true,FRA,Europe,Frankfurt,270,4.83
34.90.66.225,443,443,true,FRA,Europe,Frankfurt,274,4.81
34.65.118.63,443,443,true,FRA,Europe,Frankfurt,267,4.81
34.118.99.126,443,443,true,FRA,Europe,Frankfurt,277,4.80
34.65.214.170,443,443,true,FRA,Europe,Frankfurt,255,4.80
34.118.38.18,443,443,true,FRA,Europe,Frankfurt,296,4.80
34.116.186.249,443,443,true,FRA,Europe,Frankfurt,271,4.80
34.118.93.127,443,443,true,FRA,Europe,Frankfurt,283,4.79
34.154.219.131,443,443,true,FRA,Europe,Frankfurt,274,4.78
34.107.21.13,443,443,true,FRA,Europe,Frankfurt,254,4.77
34.32.245.143,443,443,true,FRA,Europe,Frankfurt,273,4.77
34.118.112.23,443,443,true,FRA,Europe,Frankfurt,280,4.77
34.116.191.142,443,443,true,FRA,Europe,Frankfurt,327,4.76
34.118.36.53,443,443,true,FRA,Europe,Frankfurt,281,4.76
34.65.192.38,443,443,true,FRA,Europe,Frankfurt,262,4.75
34.116.253.105,443,443,true,FRA,Europe,Frankfurt,273,4.75
34.118.29.222,443,443,true,FRA,Europe,Frankfurt,270,4.74
34.118.110.180,443,443,true,FRA,Europe,Frankfurt,282,4.74
34.90.89.224,443,443,true,FRA,Europe,Frankfurt,279,4.74
34.107.21.13,443,443,true,FRA,Europe,Frankfurt,261,4.74
34.116.244.60,443,443,true,FRA,Europe,Frankfurt,292,4.72
34.116.131.64,443,443,true,FRA,Europe,Frankfurt,389,4.72
34.65.52.186,443,443,true,FRA,Europe,Frankfurt,262,4.72
34.154.126.114,443,443,true,FRA,Europe,Frankfurt,261,4.72
34.118.87.30,443,443,true,FRA,Europe,Frankfurt,284,4.71
34.118.73.138,443,443,true,FRA,Europe,Frankfurt,281,4.71
34.118.73.138,443,443,true,FRA,Europe,Frankfurt,286,4.71
34.154.207.121,443,443,true,FRA,Europe,Frankfurt,258,4.70
34.154.167.156,443,443,true,FRA,Europe,Frankfurt,256,4.70
34.118.74.5,443,443,true,FRA,Europe,Frankfurt,280,4.69
34.118.109.210,443,443,true,FRA,Europe,Frankfurt,294,4.69
34.118.74.5,443,443,true,FRA,Europe,Frankfurt,283,4.69
34.154.147.205,443,443,true,FRA,Europe,Frankfurt,317,4.68
34.118.11.212,443,443,true,FRA,Europe,Frankfurt,309,4.68
34.116.151.200,443,443,true,FRA,Europe,Frankfurt,315,4.67
34.118.46.206,443,443,true,FRA,Europe,Frankfurt,272,4.65
34.154.107.139,443,443,true,FRA,Europe,Frankfurt,254,4.65
34.141.205.62,443,443,true,FRA,Europe,Frankfurt,273,4.63
34.116.157.223,443,443,true,FRA,Europe,Frankfurt,272,4.63
34.154.27.90,443,443,true,FRA,Europe,Frankfurt,259,4.63
34.118.49.212,443,443,true,FRA,Europe,Frankfurt,281,4.63
34.118.37.232,443,443,true,FRA,Europe,Frankfurt,277,4.62
34.118.77.217,443,443,true,FRA,Europe,Frankfurt,275,4.61
34.65.113.46,443,443,true,FRA,Europe,Frankfurt,263,4.61
34.154.48.11,443,443,true,FRA,Europe,Frankfurt,261,4.61
34.118.127.195,443,443,true,FRA,Europe,Frankfurt,282,4.60
34.141.217.84,443,443,true,FRA,Europe,Frankfurt,259,4.58
34.32.237.176,443,443,true,FRA,Europe,Frankfurt,280,4.58
34.154.189.30,443,443,true,FRA,Europe,Frankfurt,251,4.58
34.141.218.188,443,443,true,FRA,Europe,Frankfurt,288,4.57
34.116.133.90,443,443,true,FRA,Europe,Frankfurt,270,4.57
34.65.189.218,443,443,true,FRA,Europe,Frankfurt,284,4.56
34.154.153.45,443,443,true,FRA,Europe,Frankfurt,251,4.56
34.154.123.133,443,443,true,FRA,Europe,Frankfurt,265,4.55
34.118.111.208,443,443,true,FRA,Europe,Frankfurt,302,4.55
34.116.147.112,443,443,true,FRA,Europe,Frankfurt,281,4.55
35.204.246.189,443,443,true,FRA,Europe,Frankfurt,278,4.54
34.116.179.88,443,443,true,FRA,Europe,Frankfurt,271,4.53
34.118.75.59,443,443,true,FRA,Europe,Frankfurt,282,4.52
34.141.239.164,443,443,true,FRA,Europe,Frankfurt,260,4.51
34.32.214.127,443,443,true,FRA,Europe,Frankfurt,258,4.50
34.32.245.143,443,443,true,FRA,Europe,Frankfurt,266,4.49
34.118.36.53,443,443,true,FRA,Europe,Frankfurt,272,4.48
34.118.91.168,443,443,true,FRA,Europe,Frankfurt,281,4.48
34.118.17.230,443,443,true,FRA,Europe,Frankfurt,288,4.47
34.116.151.200,443,443,true,FRA,Europe,Frankfurt,279,4.47
34.118.29.222,443,443,true,FRA,Europe,Frankfurt,286,4.46
34.116.220.129,443,443,true,FRA,Europe,Frankfurt,277,4.45
34.118.70.245,443,443,true,FRA,Europe,Frankfurt,271,4.43
34.154.195.84,443,443,true,FRA,Europe,Frankfurt,259,4.41
34.154.29.142,443,443,true,FRA,Europe,Frankfurt,266,4.41
34.116.167.147,443,443,true,FRA,Europe,Frankfurt,270,4.40
34.116.250.92,443,443,true,FRA,Europe,Frankfurt,279,4.39
34.32.177.19,443,443,true,FRA,Europe,Frankfurt,267,4.39
34.118.82.161,443,443,true,FRA,Europe,Frankfurt,268,4.38
